Twitter handle/screen name	Number of followers	Number following	Location	Link	Description	Created_At	Statuses_Count	Favourites_Count	Default_Profile	Default_Profile_Image
juanblanco76	258565	173993	"Fort Collins, CO"	https://twitter.com/juanblanco76	I help entrepreneurs become influencers. Columnist @Inc Magazine. About Me: #Dad #Tennis #Marketer #MBA #MexicanFood	11/19/10 18:24	146936	106354	FALSE	FALSE
RMcclelland6	0	5		https://twitter.com/RMcclelland6		12/12/16 23:29	2	0	TRUE	TRUE
kathy_kathop45	57	239		https://twitter.com/kathy_kathop45	Childhood Cancer Advocate/Momcologist and Director of Operations at Hopfinger Family Foundation	9/28/14 3:36	1391	5713	TRUE	FALSE
EliHeitman	139	255	"Rolla, MO"	https://twitter.com/EliHeitman	"God, family, and America🇺🇸"	7/31/17 23:55	73	115	TRUE	FALSE
MinEddieCage	2642	5000	"Missouri, USA"	https://twitter.com/MinEddieCage	"Ex-Muslim now Christian Minister, Conservative Activist and Public Speaker. #MAGA #Trump #Conservatives #CCOT #Qanon #WWG1WGA #POTUS2020 #DemocratsHateAmerica"	11/7/18 16:56	772	155	TRUE	FALSE
holidaymom2	31	163		https://twitter.com/holidaymom2	Christian| Mother| Wife| Professor of Nursing	11/15/11 2:27	36	541	TRUE	FALSE
CSenators	4	156	"Yonkers, NY"	https://twitter.com/CSenators	Current US Senators Twitter Accounts: So we can better follow what they say without any interference.	2/28/19 2:05	0	0	TRUE	FALSE
KenCooksey1	0	9		https://twitter.com/KenCooksey1		2/19/17 16:37	17	7	TRUE	TRUE
lfinley54	4	93	"Missouri, USA"	https://twitter.com/lfinley54		1/16/19 3:14	0	226	TRUE	TRUE
drew24591061	4	64	"St. Louis, mo"	https://twitter.com/drew24591061		1/16/19 20:07	17	49	TRUE	TRUE
MichaelCastle7	77	552	St. Louis	https://twitter.com/MichaelCastle7		2/24/12 23:38	201	450	TRUE	FALSE
MitchellScott	369	1207	Midwest	https://twitter.com/MitchellScott	"God, Family and Country. Conservative, Patriot, Business Owner. God Bless the USA!"	12/26/11 1:54	62	267	TRUE	FALSE
NatC_Ford	5	136		https://twitter.com/NatC_Ford		1/27/19 22:24	0	129	TRUE	FALSE
JacobReses	558	2764	"Washington, DC"	https://twitter.com/JacobReses	tweets represent neither my own thoughts nor anyone else’s	10/15/10 3:56	6513	1747	TRUE	FALSE
ToddPGraves	1029	456	"Kansas City, Missouri"	https://twitter.com/ToddPGraves	Chairman of the Missouri Republican Party	2/3/17 18:02	120	30	TRUE	FALSE
jstorres	436845	411651	"Manhattan Beach, CA"	https://twitter.com/jstorres	Husband - Dad - Author - Community Banker - https://t.co/AZs6NV3s58 Contrib - Soccer Player - UCLA - Congressional Biz Person of Year - The Blockchain Banker ™️	9/30/08 16:22	225149	124566	FALSE	FALSE
kaden_snyder	52	345	"Williamsport, MD"	https://twitter.com/kaden_snyder	WHS 2020 USA=#1	6/4/16 3:06	299	297	TRUE	FALSE
GoUSA47420002	6	290		https://twitter.com/GoUSA47420002		1/17/19 17:14	0	1	TRUE	FALSE
kellyylaco	173	811	"Washington, DC"	https://twitter.com/kellyylaco	U.S. Department of Justice. Tweets are mine.	3/24/13 17:32	402	1273	FALSE	FALSE
Renee4Justice20	146	684		https://twitter.com/Renee4Justice20	"Fighting for justice in America for all. Democracy not Dictatorship, trump must be stopped!"	1/4/19 0:03	1215	6069	TRUE	FALSE
SAndricsak	3866	4998	"Jamesburg, NJ"	https://twitter.com/SAndricsak	Proud American MAGA KAG Trump2020	12/19/18 1:03	19608	31462	TRUE	FALSE
JessFurst	2272	864	"Alexandria, VA"	https://twitter.com/JessFurst	"GOP election law attorney licensed in FL, DC, & VA. @The_RGA counsel. Alum of @NRCC and @NRSC. Sarasota, FL native. Mama to 👦🏼👧🏼, wife to TJ. Go 🐊."	7/8/10 20:50	139	1147	FALSE	FALSE
