1776Brexit,0,698,1012,641,2662,2.34,.68,4.15
1AmericanMama,0,1687,228,10556,13716,46.50,7.39,1.29
1_teflon,1,2619,2807,11793,9839,40.11,.93,.83
2019DC2019,1,1,15,16,7,.12,.06,.43
2020DonaldJ,0,195,304,331,1094,1.35,.64,3.30
3018gdoe,1,527,773,5853,8534,14.52,.68,1.45
40ozhomie2,1,2,230,218,17,.62,0,.07
4_sportsmen,1,880,1644,352,50,1.49,.53,.14
5Emmacares,0,2161,2886,27407,32986,87.28,.74,1.20
5RffDMALrD7yQOb,1,6,64,6,5,.05,.09,.83
6079__Smith_W,1,20,56,13,8,.03,.35,.61
80nWxNPxyCaSS3w,1,52,390,598,2023,5.98,.13,3.38
8670ZTD8uN4Rp51,1,517,5000,1840,14007,5.78,.10,7.61
8uRzqN6mkKP7Cvc,1,2,100,1,5,.01,.02,5.00
941nickguy,0,221,380,616,320,1.67,.58,.51
A10Assoc,0,40,1203,28,18,.18,.03,.64
ALock_4,1,7,172,177,248,1.39,.04,1.40
AMP_Contracting,0,65,848,808,117,2.00,.07,.14
AP72580488,0,19,115,76,99,.36,.16,1.30
APGOVBG,1,8,57,2,1,0,.14,.50
AQEELKH46497766,1,17,495,19,21,.14,.03,1.10
AScheppele,1,194,579,573,8243,2.79,.33,14.38
AamirMe31389026,1,4,212,9,6,.09,.01,.66
AaronHeard13,0,58,343,158,880,.58,.16,5.56
AbdellhAlgrady,1,6,109,2,2,.01,.05,1.00
Abdulna73737559,1,3,92,12,23,.12,.03,1.91
Abigail42724542,1,3250,3798,1165,1132,5.73,.85,.97
AboutCuriously,0,269,688,1372,3348,5.25,.39,2.44
AbqSpirits,1,20,127,296,358,.70,.15,1.20
AbuTura35033108,1,23,459,97,4247,.38,.05,43.78
AdanHas10800986,1,11,92,10,1,.05,.11,.10
AdrienMwamba3,1,0,46,1,4,0,0,4.00
AdrienneDoebel1,0,11,140,11,143,.04,.07,13.00
AdvoKid1,1,34,589,251,296,1.16,.05,1.17
Advoc8LikeAMom,0,62,721,348,94,1.78,.08,.27
AilsonSaldanha,1,40,609,8,8,.03,.06,1.00
AkifUsmani2,1,2,108,5,81,.03,.01,16.20
Al_Natanagara,0,1262,2290,6153,17271,25.63,.55,2.80
AlexRog06386180,1,19,288,45,94,.21,.06,2.08
Alexand76085967,0,14,46,262,105,.89,.30,.40
AliBeka20,1,3,154,5,1,.04,.01,.20
AliJanMemon8,1,2,75,10,5,.07,.02,.50
Alice30578774,0,21,161,75,422,.29,.13,5.62
AllisonEwers,0,49,145,20,80,.10,.33,4.00
AllynTa62806380,1,626,2477,33216,25114,127.26,.25,.75
AltheaLayne1,0,1,86,5,1,.02,.01,.20
Alyssa25450874,0,2,63,8,34,.08,.03,4.25
AmadouAminou5,1,0,124,3,7,.03,0,2.33
AmanpourCoPBS,1,10980,773,619,1093,2.47,14.20,1.76
AmericanNinja2,1,568,1050,188,383,.79,.54,2.03
Amjad41506800,1,1,84,5,7,.04,.01,1.40
Amralhwary1,1,0,17,10,16,.07,0,1.60
AmyCJ7166,0,49,694,69,373,.52,.07,5.40
AmyPears2545,1,1464,4441,3823,17103,10.92,.32,4.47
AmySpen46613288,1,216,1578,10,1,.06,.13,.10
Amzdealzz,1,12,293,14,0,.03,.04,0
AndeeLayton,0,257,958,714,2207,1.74,.26,3.09
AndersOdegard1,0,248,661,847,533,4.34,.37,.62
AndiLetsom,1,15,107,16,394,.15,.14,24.62
AndrewJayEvans1,1,509,736,3293,8322,7.80,.69,2.52
Andrewrobocop1,0,79,1011,810,3221,1.77,.07,3.97
Angela81250692,0,235,700,2624,2459,5.92,.33,.93
AngelaW63765246,0,4361,4498,15930,14968,43.05,.96,.93
AniaCervera,1,211,4944,106,410,.43,.04,3.86
Animalvintage1,1,3,27,19,38,.06,.11,2.00
AnthonyMixerWA,0,5571,965,2355,5212,10.70,5.77,2.21
AntonGruber87,0,41,190,299,162,1.79,.21,.54
Antonio27089062,1,5,49,2,4,.02,.10,2.00
Antwannroundtr1,1,434,1667,3635,3511,12.44,.26,.96
AnusQaim,1,6,115,6,11,.06,.05,1.83
AppleAllen3,0,1051,3016,3170,3191,7.65,.34,1.00
ArizonaLuke,1,339,726,3437,3667,23.54,.46,1.06
ArunSha40796308,1,65,1678,184,193,.84,.03,1.04
ArwoodDebbi,0,113,458,1719,6484,10.11,.24,3.77
AryaResists,0,24741,17424,87790,136803,244.54,1.41,1.55
Aseemru,0,755,463,9460,62881,29.93,1.63,6.64
Asfand38828108,1,401,385,21253,12773,189.75,1.04,.60
AshleyH42679986,0,17,243,147,836,.71,.06,5.68
AshleyJ19CCA,0,19,990,24,71,.16,.01,2.95
Ashleyaston10,0,4,59,14,17,.03,.06,1.21
Athena4Freedom,1,1001,1742,8536,40060,31.04,.57,4.69
AtsuRichmond1,1,7,199,54,721,.49,.03,13.35
AusConsRodney,0,395,468,4295,5661,10.60,.84,1.31
AussumPossum,1,433,1089,5610,25231,14.92,.39,4.49
AvenirVisions,0,559,3859,520,885,1.60,.14,1.70
BBest1958,1,20,244,809,2109,5.39,.08,2.60
