100kstrongermo,1,80,78,57,32,.22,1.02,.56
11kelleyk,1,479,1848,1767,23820,4.34,.25,13.48
16Rubytuesday7,1,1561,1586,4740,22302,15.29,.98,4.70
1776Brexit,0,698,1012,641,2662,2.34,.68,4.15
18CVc8L5Vnl8Lwr,1,47,256,4,1,.03,.18,.25
1941Rashmi,1,598,3486,8876,3303,21.86,.17,.37
1961Amman,1,0,2,1,0,0,0,0
1980000hamagma1,1,838,2963,5150,2993,54.78,.28,.58
1AmericanMama,0,1687,228,10556,13716,46.50,7.39,1.29
1SweetTexan,1,9601,9545,16745,17171,42.17,1.00,1.02
1WeAreSoldiers1,1,776,1404,2072,1313,5.12,.55,.63
1WiserWoman,1,3992,4637,7240,6459,25.67,.86,.89
1_teflon,1,2619,2807,11793,9839,40.11,.93,.83
1dinetah,1,261,2659,25158,9041,113.83,.09,.35
1luckyguy111,1,373,1479,10418,51396,59.53,.25,4.93
1rsVqNJw9Bffaf7,1,3,81,2,3,.02,.03,1.50
1stcoalition,1,579,1510,266,241,1.18,.38,.90
2019DC2019,1,1,15,16,7,.12,.06,.43
2020DonaldJ,0,195,304,331,1094,1.35,.64,3.30
2020Pleasant,1,62,322,441,679,3.36,.19,1.53
2QRQwF96Q85mFdR,1,1,72,2,0,.01,.01,0
3018gdoe,1,527,773,5853,8534,14.52,.68,1.45
3220mccaskill,1,22,11,40,0,.18,2.00,0
3dgunmodeler,1,144,402,4497,1058,29.01,.35,.23
3momthree3,1,3,12,2,19,0,.25,9.50
40ozhomie2,1,2,230,218,17,.62,0,.07
45Allies,1,54,247,2311,687,10.40,.21,.29
45blows1,1,314,655,596,1676,3.18,.47,2.81
4Rwi51BpgWxi0QX,1,5,67,1,1,0,.07,1.00
4_sportsmen,1,880,1644,352,50,1.49,.53,.14
50Lamp,1,13,282,1686,6024,13.17,.04,3.57
57626156Fabio,1,31,340,14,10,.03,.09,.71
5Emmacares,0,2161,2886,27407,32986,87.28,.74,1.20
5RffDMALrD7yQOb,1,6,64,6,5,.05,.09,.83
5lYqTdGv7VAh3Ly,1,2,102,1,0,0,.01,0
5smoothstones17,1,219,1616,189,379,.43,.13,2.00
6079__Smith_W,1,20,56,13,8,.03,.35,.61
6PzStdZeTb40CkC,1,0,48,1,0,0,0,0
6oWjpbSFj3ZPNVV,1,422,3903,127,20,1.01,.10,.15
703Kyle,1,280,729,16633,46663,60.26,.38,2.80
70MillionVoters,1,25,53,216,53,.64,.47,.24
7DvKDpIMtlWgkBb,1,4,59,1,0,.01,.06,0
7moode_omer,1,4,74,0,12,0,.05,1200000.00
7thequantumkid7,1,6,187,37,39,.30,.03,1.05
80nWxNPxyCaSS3w,1,52,390,598,2023,5.98,.13,3.38
8670ZTD8uN4Rp51,1,517,5000,1840,14007,5.78,.10,7.61
8SunLovely8,1,27,974,1,1,0,.02,1.00
8canusa8,1,5,707,1427,10734,3.52,0,7.52
8thwarddems,1,78,393,69,75,.42,.19,1.08
8uRzqN6mkKP7Cvc,1,2,100,1,5,.01,.02,5.00
912Dunnpartyof6,1,12,504,2,338,0,.02,169.00
941nickguy,0,221,380,616,320,1.67,.58,.51
9N0fn9cqW6zcY5x,1,1,69,1,8,0,.01,8.00
A10Assoc,0,40,1203,28,18,.18,.03,.64
A1stnews,1,147,760,114,95,.50,.19,.83
AAHappyHouse,1,250,513,1684,2195,8.37,.48,1.30
AAlaroshi,1,0,56,5,76,.03,0,15.20
ABell1979,1,12,116,648,206,3.32,.10,.31
ADHPhee,1,49,605,768,837,1.88,.08,1.08
ADPfaff,1,8,70,140,85,1.04,.11,.60
ADThompson6,1,570,1871,12479,7664,66.73,.30,.61
ADan92900689,1,21,100,1,3,0,.21,3.00
AFGHANI99740951,1,19,382,2,1,.01,.04,.50
AFlyonthe,1,23,168,371,634,1.98,.13,1.70
AImpeachment,1,3,26,59,3,.39,.11,.05
ALock_4,1,7,172,177,248,1.39,.04,1.40
ALouibenson,1,8,91,3,4,.02,.08,1.33
AMERICA20215759,1,100,601,7625,7140,16.86,.16,.93
AMP_Contracting,0,65,848,808,117,2.00,.07,.14
AMirSoh54917824,1,1,30,8,9,.08,.03,1.12
ANelson594,1,6,284,51,5,.12,.02,.09
AP72580488,0,19,115,76,99,.36,.16,1.30
APCEO1,1,8,288,17,5,.15,.02,.29
APGOVBG,1,8,57,2,1,0,.14,.50
APatrio31327456,1,1,73,4,84,.02,.01,21.00
APayrollCompany,1,174,1282,147,82,.33,.13,.55
AQEELKH46497766,1,17,495,19,21,.14,.03,1.10
ARealPrezReads,1,823,1167,21065,10461,48.98,.70,.49
AScheppele,1,194,579,573,8243,2.79,.33,14.38
AShalmiyev,1,1139,2807,4654,16673,18.46,.40,3.58
AStashefsky,1,6,206,171,124,.40,.02,.72
ATWEETADAYKEEP1,1,31,535,353,402,2.10,.05,1.13
A_l_a_m_i,1,1,35,11,3,.08,.02,.27
AamirMe31389026,1,4,212,9,6,.09,.01,.66
AaronHeard13,0,58,343,158,880,.58,.16,5.56
AaronPThompson7,1,541,4985,2042,132,5.14,.10,.06
AaronShaw234,1,24,629,157,1525,1.12,.03,9.71
AbabulguB,1,16,270,25,52,.21,.05,2.08
AbdNamor,1,8,80,1,10,.01,.10,10.00
Abdalla78302374,1,20,159,3,60,.02,.12,20.00
AbdellhAlgrady,1,6,109,2,2,.01,.05,1.00
AbdikariimEng,1,19,193,1,22,.01,.09,22.00
AbdikarimWarsa2,1,23,416,2,8,.01,.05,4.00
Abdirah09236622,1,20,117,2,0,.02,.17,0
AbdisalanDahir2,1,238,1230,48,427,.43,.19,8.89
Abdoulatifsill1,1,399,4729,167,665,1.42,.08,3.98
AbdulMa58402695,1,1,48,1,4,.01,.02,4.00
AbdulQa45216967,1,6,125,15,21,.15,.04,1.40
