100kstrongermo,1,80,78,57,32,0,0,.22
11kelleyk,1,479,1848,1767,23820,1,0,4.34
1776Brexit,0,698,1012,641,2662,1,0,2.34
18CVc8L5Vnl8Lwr,1,47,256,4,1,1,0,.03
1961Amman,1,0,2,1,0,1,1,0
1980000hamagma1,1,838,2963,5150,2993,1,0,54.78
1dinetah,1,261,2659,25158,9041,1,0,113.83
1luckyguy111,1,373,1479,10418,51396,1,0,59.53
1rsVqNJw9Bffaf7,1,3,81,2,3,1,1,.02
2019DC2019,1,1,15,16,7,1,1,.12
2020Pleasant,1,62,322,441,679,1,0,3.36
2QRQwF96Q85mFdR,1,1,72,2,0,1,1,.01
3220mccaskill,1,22,11,40,0,1,0,.18
3dgunmodeler,1,144,402,4497,1058,0,0,29.01
3momthree3,1,3,12,2,19,1,1,0
40ozhomie2,1,2,230,218,17,1,1,.62
45Allies,1,54,247,2311,687,1,0,10.40
45blows1,1,314,655,596,1676,1,0,3.18
4Rwi51BpgWxi0QX,1,5,67,1,1,1,1,0
4_sportsmen,1,880,1644,352,50,0,0,1.49
50Lamp,1,13,282,1686,6024,1,0,13.17
57626156Fabio,1,31,340,14,10,1,0,.03
5Emmacares,0,2161,2886,27407,32986,1,0,87.28
5RffDMALrD7yQOb,1,6,64,6,5,1,1,.05
6PzStdZeTb40CkC,1,0,48,1,0,1,0,0
6oWjpbSFj3ZPNVV,1,422,3903,127,20,1,0,1.01
70MillionVoters,1,25,53,216,53,0,0,.64
7DvKDpIMtlWgkBb,1,4,59,1,0,1,1,.01
7moode_omer,1,4,74,0,12,1,0,0
7thequantumkid7,1,6,187,37,39,0,0,.30
80nWxNPxyCaSS3w,1,52,390,598,2023,1,1,5.98
8670ZTD8uN4Rp51,1,517,5000,1840,14007,1,0,5.78
8SunLovely8,1,27,974,1,1,1,0,0
8thwarddems,1,78,393,69,75,1,0,.42
8uRzqN6mkKP7Cvc,1,2,100,1,5,1,1,.01
912Dunnpartyof6,1,12,504,2,338,1,1,0
941nickguy,0,221,380,616,320,1,0,1.67
9N0fn9cqW6zcY5x,1,1,69,1,8,1,0,0
A10Assoc,0,40,1203,28,18,0,0,.18
AAHappyHouse,1,250,513,1684,2195,1,0,8.37
AAlaroshi,1,0,56,5,76,1,1,.03
ADHPhee,1,49,605,768,837,1,0,1.88
ADPfaff,1,8,70,140,85,1,0,1.04
ADThompson6,1,570,1871,12479,7664,1,0,66.73
ADan92900689,1,21,100,1,3,1,0,0
AFGHANI99740951,1,19,382,2,1,1,0,.01
AFlyonthe,1,23,168,371,634,1,1,1.98
AImpeachment,1,3,26,59,3,1,0,.39
ALock_4,1,7,172,177,248,1,0,1.39
ALouibenson,1,8,91,3,4,1,0,.02
AMirSoh54917824,1,1,30,8,9,1,0,.08
ANelson594,1,6,284,51,5,1,0,.12
APCEO1,1,8,288,17,5,1,0,.15
APatrio31327456,1,1,73,4,84,1,1,.02
APayrollCompany,1,174,1282,147,82,1,0,.33
AQEELKH46497766,1,17,495,19,21,1,0,.14
ARealPrezReads,1,823,1167,21065,10461,1,0,48.98
AScheppele,1,194,579,573,8243,1,0,2.79
ATWEETADAYKEEP1,1,31,535,353,402,1,0,2.10
A_l_a_m_i,1,1,35,11,3,1,0,.08
AamirMe31389026,1,4,212,9,6,1,0,.09
AaronShaw234,1,24,629,157,1525,1,0,1.12
AbabulguB,1,16,270,25,52,1,0,.21
AbdNamor,1,8,80,1,10,1,0,.01
Abdalla78302374,1,20,159,3,60,1,0,.02
AbdellhAlgrady,1,6,109,2,2,1,1,.01
AbdikariimEng,1,19,193,1,22,1,0,.01
AbdikarimWarsa2,1,23,416,2,8,1,0,.01
Abdirah09236622,1,20,117,2,0,1,0,.02
AbdisalanDahir2,1,238,1230,48,427,1,0,.43
Abdoulatifsill1,1,399,4729,167,665,1,0,1.42
AbdulMa58402695,1,1,48,1,4,1,0,.01
AbdulQa45216967,1,6,125,15,21,1,0,.15
AbdulQaharAziz2,1,8,107,4,18,1,0,.02
Abdulah25320547,1,17,155,4,74,1,0,.03
AbdulfatahKha11,1,28,611,12,28,1,0,.10
AbdulhakiimYas1,1,1,110,1,2,1,0,0
AbdullaMuaz15,1,23,942,3,626,1,1,.01
AbdullahTaj19,1,0,23,2,0,1,1,.01
Abdulna73737559,1,3,92,12,23,1,0,.12
Abdulra57073907,1,112,2353,3,1795,1,1,.03
AbdyMire,1,1,69,4,2,1,0,.02
AbidJanAfridi4,1,46,811,232,585,1,0,1.56
Abigail42724542,1,3250,3798,1165,1132,1,0,5.73
AbigailMorrall,1,7,92,3,6,1,0,.01
AbinielGomes1,1,0,11,1,0,1,1,0
Ablyss5,1,1,79,1,27,1,1,0
AboutCuriously,0,269,688,1372,3348,1,0,5.25
AbqSpirits,1,20,127,296,358,1,0,.70
AbuJawad7474011,1,1,120,1,0,1,0,0
AbuTura35033108,1,23,459,97,4247,1,0,.38
ActioncoachMid,1,30,632,101,0,1,0,.62
AdamDahab1,1,1,63,3,2,1,1,.02
AdamouH47051874,1,2,64,6,3,1,1,.03
AdanHas10800986,1,11,92,10,1,1,0,.05
AdebayorInza,1,4,67,4,0,1,0,.02
AdenKamala,1,12,206,236,105,1,0,1.02
AdmiralOsman,1,4,32,1,0,1,0,0
AdrianWapcapIet,1,603,1799,13496,33064,1,0,29.59
AdrienMwamba3,1,0,46,1,4,1,1,0
AdrienneDoebel1,0,11,140,11,143,1,0,.04
AdvoKid1,1,34,589,251,296,1,0,1.16
Advoc8LikeAMom,0,62,721,348,94,0,0,1.78
AdvocateAbdulS3,1,3,134,2,302,1,1,.01
Adyson08483885,1,10,123,29,102,1,0,.19
AgabusGuy,1,18,208,27,16,1,0,.19
Ahmad_Salem1993,1,104,1972,2868,5850,1,0,12.10
Ahmed45159565,1,3,131,6,113,1,0,.06
AhmedAldrini,1,0,69,2,0,1,0,.01
AhmedChachar4,1,39,198,7,90,1,0,.07
AhmedDeen19,1,0,34,2,0,1,1,.01
AhmedWe86929058,1,5,77,22,1,1,0,.19
