Twitter handle/screen name	Number of followers	Number following	Location	Link	Description	Created_At	Statuses_Count	Favourites_Count	Default_Profile	Default_Profile_Image
sexysociologist	326	438		https://twitter.com/sexysociologist		10/3/11 19:09	587	386	TRUE	FALSE
Clayman98	70	176	"Kansas City, MO"	https://twitter.com/Clayman98	Molecular Biology at William Jewell College '20. Aspiring physician scientist 👨‍🔬 Oxford Visiting Student 2019 📚 Writer: @studsci	6/29/11 13:53	180	631	FALSE	FALSE
drvernig	9391	9264	"Philadelphia, PA"	https://twitter.com/drvernig	"Psychologist, Healthcare Executive, Chief Clinical and Innovation Officer at Friends Hospital"	2/9/13 20:55	8978	115	FALSE	FALSE
Millennials4Her	32524	3095	United States	https://twitter.com/Millennials4Her	Millennials looking to get @KamalaHarris elected as President of the United States. Tweets/Follows/RTs ≠ endorsement #ImWithHer #Kamala2020	12/2/15 19:58	8056	11863	TRUE	FALSE
mo_cannabis	95	827		https://twitter.com/mo_cannabis	"Prospective MO medical cannabis co w/compassionate, patients first, industry leading team, seeking to provide highest quality medicine for qualified MO patients"	3/13/19 5:12	27	16	TRUE	FALSE
KirkTwin	23	207		https://twitter.com/KirkTwin	Thoughts are my own. Parody account	3/16/19 8:55	7	0	TRUE	FALSE
IanBretzBrown1	1	45		https://twitter.com/IanBretzBrown1		3/15/19 20:25	0	2	TRUE	TRUE
Cs5257712Smith	0	127	"Arizona, USA"	https://twitter.com/Cs5257712Smith	am from Arizona Mesa	3/10/19 0:44	1	0	TRUE	FALSE
subawashi	62	905		https://twitter.com/subawashi		8/18/16 2:39	4726	11477	TRUE	FALSE
Regnier1T	18	428		https://twitter.com/Regnier1T		9/8/14 0:55	44	16	TRUE	TRUE
Fultie	308	1205	"Richmond, VA"	https://twitter.com/Fultie	"I am an Army Chaplain, Auburn Grad, Southern Seminary Grad, Cyclist, and political junkie.  This is my personal page and my opinions!"	1/15/09 20:12	827	89	FALSE	FALSE
conservatizm	5	310		https://twitter.com/conservatizm	Socially fiscally conservative	3/6/19 2:50	7	0	TRUE	TRUE
efin4813	1	476		https://twitter.com/efin4813	I’ve been told I’m “ladylike”	3/18/15 20:39	0	181	TRUE	FALSE
ranchlady49	19	181		https://twitter.com/ranchlady49		2/27/11 15:02	1206	2835	TRUE	TRUE
OrtegaVespoli	189	4933	"São Paulo, Brasil "	https://twitter.com/OrtegaVespoli	"Lutando pelo Brasil. Se há risco de extremismo, que seja verde não vermelho.🇧🇷🤲"	2/3/19 0:52	86	584	TRUE	FALSE
TaliaferoEdna67	264	5001	"Michigan, USA"	https://twitter.com/TaliaferoEdna67	DIGITAL ADVERTISING & BRANDING MARKETER	12/4/16 14:10	179	28476	TRUE	FALSE
KhoramSabawoon	31	1954	United kingdom 	https://twitter.com/KhoramSabawoon	"son,brother,nephew and friend ,studied geoscience faculty at Kabul university."	2/5/19 2:44	75	60	TRUE	FALSE
GerkitzPatricia	86	1017	"Ottawa, IL"	https://twitter.com/GerkitzPatricia		10/14/17 23:32	397	859	TRUE	FALSE
ElardoCorbin	50	603	United States	https://twitter.com/ElardoCorbin	Stop hate. Propagate knowledge. Change the universe.	10/11/17 13:59	311	629	TRUE	FALSE
CountyPettis	4	24		https://twitter.com/CountyPettis	The Democratic Party of Pettis County	3/1/19 3:11	10	8	TRUE	FALSE
